4052.181	4999.5	5403.352	5624.583	5763.65	5858.986	5928.356	5981.07	6022.473	6055.847	6083.317	6106.321	6125.865	6142.674	6157.285	6170.101	6181.435	6191.529	6200.576	6208.73
98.503	99	99.166	99.249	99.299	99.333	99.356	99.374	99.388	99.399	99.408	99.416	99.422	99.428	99.433	99.437	99.44	99.444	99.447	99.449
34.116	30.817	29.457	28.71	28.237	27.911	27.672	27.489	27.345	27.229	27.133	27.052	26.983	26.924	26.872	26.827	26.787	26.751	26.719	26.69
21.198	18	16.694	15.977	15.522	15.207	14.976	14.799	14.659	14.546	14.452	14.374	14.307	14.249	14.198	14.154	14.115	14.08	14.048	14.02
16.258	13.274	12.06	11.392	10.967	10.672	10.456	10.289	10.158	10.051	9.963	9.888	9.825	9.77	9.722	9.68	9.643	9.61	9.58	9.553
13.745	10.925	9.78	9.148	8.746	8.466	8.26	8.102	7.976	7.874	7.79	7.718	7.657	7.605	7.559	7.519	7.483	7.451	7.422	7.396
12.246	9.547	8.451	7.847	7.46	7.191	6.993	6.84	6.719	6.62	6.538	6.469	6.41	6.359	6.314	6.275	6.24	6.209	6.181	6.155
11.259	8.649	7.591	7.006	6.632	6.371	6.178	6.029	5.911	5.814	5.734	5.667	5.609	5.559	5.515	5.477	5.442	5.412	5.384	5.359
10.561	8.022	6.992	6.422	6.057	5.802	5.613	5.467	5.351	5.257	5.178	5.111	5.055	5.005	4.962	4.924	4.89	4.86	4.833	4.808
10.044	7.559	6.552	5.994	5.636	5.386	5.2	5.057	4.942	4.849	4.772	4.706	4.65	4.601	4.558	4.52	4.487	4.457	4.43	4.405
9.646	7.206	6.217	5.668	5.316	5.069	4.886	4.744	4.632	4.539	4.462	4.397	4.342	4.293	4.251	4.213	4.18	4.15	4.123	4.099
9.33	6.927	5.953	5.412	5.064	4.821	4.64	4.499	4.388	4.296	4.22	4.155	4.1	4.052	4.01	3.972	3.939	3.909	3.883	3.858
9.074	6.701	5.739	5.205	4.862	4.62	4.441	4.302	4.191	4.1	4.025	3.96	3.905	3.857	3.815	3.778	3.745	3.716	3.689	3.665
8.862	6.515	5.564	5.035	4.695	4.456	4.278	4.14	4.03	3.939	3.864	3.8	3.745	3.698	3.656	3.619	3.586	3.556	3.529	3.505
8.683	6.359	5.417	4.893	4.556	4.318	4.142	4.004	3.895	3.805	3.73	3.666	3.612	3.564	3.522	3.485	3.452	3.423	3.396	3.372
8.531	6.226	5.292	4.773	4.437	4.202	4.026	3.89	3.78	3.691	3.616	3.553	3.498	3.451	3.409	3.372	3.339	3.31	3.283	3.259
8.4	6.112	5.185	4.669	4.336	4.102	3.927	3.791	3.682	3.593	3.519	3.455	3.401	3.353	3.312	3.275	3.242	3.212	3.186	3.162
8.285	6.013	5.092	4.579	4.248	4.015	3.841	3.705	3.597	3.508	3.434	3.371	3.316	3.269	3.227	3.19	3.158	3.128	3.101	3.077
8.185	5.926	5.01	4.5	4.171	3.939	3.765	3.631	3.523	3.434	3.36	3.297	3.242	3.195	3.153	3.116	3.084	3.054	3.027	3.003
8.096	5.849	4.938	4.431	4.103	3.871	3.699	3.564	3.457	3.368	3.294	3.231	3.177	3.13	3.088	3.051	3.018	2.989	2.962	2.938
8.017	5.78	4.874	4.369	4.042	3.812	3.64	3.506	3.398	3.31	3.236	3.173	3.119	3.072	3.03	2.993	2.96	2.931	2.904	2.88
7.945	5.719	4.817	4.313	3.988	3.758	3.587	3.453	3.346	3.258	3.184	3.121	3.067	3.019	2.978	2.941	2.908	2.879	2.852	2.827
7.881	5.664	4.765	4.264	3.939	3.71	3.539	3.406	3.299	3.211	3.137	3.074	3.02	2.973	2.931	2.894	2.861	2.832	2.805	2.781
7.823	5.614	4.718	4.218	3.895	3.667	3.496	3.363	3.256	3.168	3.094	3.032	2.977	2.93	2.889	2.852	2.819	2.789	2.762	2.738
